subj,ip,condition,trial,global_id,instance_id,trial_id,block_set,block_id,trial_in_block,target,target ID,original_guess,corrected_guess,spell-check,candidates,wordprob,guess,guess_id,target_guess_match,verb_synset,wn_wup
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201046101.mp4,1201046101,120461,1,0,0,0,look,17,hop,hop,hop,{'hop'},5.424759047524947e-06,hop,649,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201083901.mp4,1201083901,120839,2,0,0,0,play,14,show,show,show,{'show'},0.00027686976329581523,show,494,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201080201.mp4,1201080201,120802,3,0,0,0,jump,319,throw,throw,throw,{'throw'},3.5664684959395887e-05,throw,523,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201007201.mp4,1201007201,120072,4,0,0,0,put,59,sleep,sleep,sleep,{'sleep'},7.872112175072462e-05,sleep,3459,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201038801.mp4,1201038801,120388,5,0,0,0,look,17,turn,turn,turn,{'turn'},0.00021761151751712671,turn,414,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201133301.mp4,1201133301,121333,6,0,0,0,build,628,stand,stand,stand,{'stand'},0.00011451003783334626,stand,49,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201041301.mp4,1201041301,120413,7,0,0,0,go,27,pull,pull,pull,{'pull'},4.6441734899230756e-05,pull,1080,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201093501.mp4,1201093501,120935,8,0,0,0,work,272,press,press,press,{'press'},0.0001357535599049516,press,1666,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201090201.mp4,1201090201,120902,9,0,0,0,go,27,sleep,sleep,sleep,{'sleep'},7.872112175072462e-05,sleep,3459,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201041201.mp4,1201041201,120412,10,0,0,0,say,83,take,take,take,{'take'},0.000742643302050004,take,191,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201030701.mp4,1201030701,120307,11,0,0,0,make,38,shake,shake,shake,{'shake'},1.6263924548972696e-05,shake,2757,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201035801.mp4,1201035801,120358,12,0,0,0,say,83,talk,talk,talk,{'talk'},0.00017576633417724916,talk,537,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201180801.mp4,1201180801,121808,13,0,0,0,push,713,give,give,give,{'give'},0.0004670158499864464,give,194,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201133001.mp4,1201133001,121330,14,0,0,0,talk,537,stay,stay,stay,{'stay'},0.00012955235633726564,stay,223,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201146201.mp4,1201146201,121462,15,0,0,0,knock,423,fall,fall,fall,{'fall'},0.00011511048826227078,fall,608,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201182901.mp4,1201182901,121829,16,0,0,0,say,83,drive,drive,drive,{'drive'},9.440530105797709e-05,drive,772,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201076401.mp4,1201076401,120764,17,0,0,0,knock,423,break,break,break,{'break'},9.720050133055674e-05,break,1067,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201146001.mp4,1201146001,121460,18,0,0,0,look,17,build,build,build,{'build'},7.481819396271526e-05,build,628,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201068801.mp4,1201068801,120688,19,0,0,0,use,462,saw,saw,saw,{'saw'},0.0002766937692045788,saw,1802,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201063301.mp4,1201063301,120633,20,0,0,0,get,91,stack,stack,stack,{'stack'},7.308931083115673e-06,stack,288,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201109001.mp4,1201109001,121090,21,0,0,0,watch,647,spin,spin,spin,{'spin'},9.545091301179393e-06,spin,342,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201031701.mp4,1201031701,120317,22,0,0,0,dance,237,press,press,press,{'press'},0.0001357535599049516,press,1666,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201121901.mp4,1201121901,121219,23,0,0,0,sit,213,drive,drive,drive,{'drive'},9.440530105797709e-05,drive,772,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201186501.mp4,1201186501,121865,24,0,0,0,squeeze,2848,block,block,block,{'block'},4.542718072622036e-05,block,837,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201051801.mp4,1201051801,120518,25,0,0,0,wear,234,awaken,awaken,awaken,{'awaken'},9.627912049996566e-07,awaken,4382,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201069301.mp4,1201069301,120693,26,0,0,0,hurt,655,bounce,bounce,bounce,{'bounce'},5.165944207471276e-06,bounce,2871,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201165301.mp4,1201165301,121653,27,0,0,0,tumble,3065,drive,drive,drive,{'drive'},9.440530105797709e-05,drive,772,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201053501.mp4,1201053501,120535,28,0,0,0,turn,414,shake,shake,shake,{'shake'},1.6263924548972696e-05,shake,2757,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201134601.mp4,1201134601,121346,29,0,0,0,make,38,shake,shake,shake,{'shake'},1.6263924548972696e-05,shake,2757,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201037901.mp4,1201037901,120379,30,0,0,0,make,38,drive,drive,drive,{'drive'},9.440530105797709e-05,drive,772,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201069501.mp4,1201069501,120695,31,0,0,0,look,17,lift,lift,lift,{'lift'},4.489919845251087e-05,lift,484,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201054901.mp4,1201054901,120549,32,0,0,0,dig,3261,rake,rake,rake,{'rake'},3.1368358614504946e-06,rake,3528,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201012501.mp4,1201012501,120125,33,0,0,0,make,38,drive,drive,drive,{'drive'},9.440530105797709e-05,drive,772,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201007401.mp4,1201007401,120074,34,0,0,0,rake,3528,sleep,sleep,sleep,{'sleep'},7.872112175072462e-05,sleep,3459,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201070201.mp4,1201070201,120702,35,0,0,0,say,83,build,build,build,{'build'},7.481819396271526e-05,build,628,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201071001.mp4,1201071001,120710,36,0,0,0,look,17,run,run,run,{'run'},0.00022900972307309038,run,2061,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201043001.mp4,1201043001,120430,37,0,0,0,eat,264,sleep,sleep,sleep,{'sleep'},7.872112175072462e-05,sleep,3459,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201099201.mp4,1201099201,120992,38,0,0,0,look,17,dance,dance,dance,{'dance'},4.5551411849446126e-05,dance,237,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201116901.mp4,1201116901,121169,39,0,0,0,play,14,spin,spin,spin,{'spin'},9.545091301179393e-06,spin,342,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201136501.mp4,1201136501,121365,40,0,0,0,put,59,stand,stand,stand,{'stand'},0.00011451003783334626,stand,49,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201111301.mp4,1201111301,121113,41,0,0,0,pull,1080,remove,remove,remove,{'remove'},4.099627066450151e-05,remove,4333,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201168701.mp4,1201168701,121687,42,0,0,0,leave,111,move,move,move,{'move'},0.0002114206665430429,move,825,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201023401.mp4,1201023401,120234,43,0,0,0,get,91,call,call,call,{'call'},0.00020168922855702485,call,492,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201068701.mp4,1201068701,120687,44,0,0,0,say,83,pound,pound,pound,{'pound'},7.108090767234025e-05,pound,3232,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201125001.mp4,1201125001,121250,45,0,0,0,drive,772,ride,ride,ride,{'ride'},3.47847145032134e-05,ride,318,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201181501.mp4,1201181501,121815,46,0,0,0,stomp,452,drive,drive,drive,{'drive'},9.440530105797709e-05,drive,772,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201166301.mp4,1201166301,121663,47,0,0,0,wake,3010,wake,wake,wake,{'wake'},2.751719379450632e-05,wake,3010,1,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201032001.mp4,1201032001,120320,48,0,0,0,dance,237,dance,dance,dance,{'dance'},4.5551411849446126e-05,dance,237,1,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201047701.mp4,1201047701,120477,49,0,0,0,watch,647,spin,spin,spin,{'spin'},9.545091301179393e-06,spin,342,0,1,
200001,2601-402-4400-498e-cc76-a60c-8407-712b,exp200,1201120101.mp4,1201120101,121201,50,0,0,0,solve,3948,match,match,match,{'match'},9.930207783179254e-05,match,526,0,1,
200002,73.66.94.137,exp200,1201127001.mp4,1201127001,121270,1,0,0,0,check,502,point,point,point,{'point'},0.00041693000213925994,point,642,0,1,
